fecha,producto,vendedor,ciudad,cantidad,monto
2026-07-11,Antena Sectorial,Marta Ruiz,Medellin,3,706846.0
2025-03-26,Ont Fibra,Marta Ruiz,Cali,3,199329.0
2026-05-08,Repetidor Mesh,Luis Gomez,Barranquilla,4,122840.0
2025-11-02,Ont Fibra,Ana Torres,Medellin,5,323204.0
2026-03-17,Repetidor Mesh,Luis Gomez,Medellin,4,393365.0
2026-06-03,Ont Fibra,Ana Torres,Medellin,4,259514.0
2026-03-14,Router Wifi 6,Carlos Pena,Medellin,7,433563.0
2026-03-06,Router Wifi 6,Luis Gomez,Barranquilla,8,186450.0
2025-09-13,Repetidor Mesh,Carlos Pena,Medellin,8,141384.0
2026-04-16,Antena Sectorial,Ana Torres,Medellin,6,547060.0
2025-12-22,Repetidor Mesh,Luis Gomez,Bogota,8,299373.0
2025-04-05,Ont Fibra,Marta Ruiz,Cali,5,297207.0
2026-06-14,Switch 24P,Carlos Pena,Bogota,1,333954.0
2026-05-27,Antena Sectorial,Marta Ruiz,Bogota,8,329315.0
2025-02-14,Repetidor Mesh,Marta Ruiz,Medellin,1,214478.0
2026-02-14,Ont Fibra,Luis Gomez,Medellin,1,719166.0
2025-02-12,Switch 24P,Ana Torres,Barranquilla,3,891978.0
2026-01-09,Cable Utp Cat6,Marta Ruiz,Medellin,1,432937.0
2025-12-19,Router Wifi 6,Ana Torres,Cali,6,330331.0
2026-01-18,Router Wifi 6,Luis Gomez,Cali,2,112641.0
2025-05-04,Cable Utp Cat6,Marta Ruiz,Barranquilla,3,227931.0
2025-06-30,Antena Sectorial,Marta Ruiz,Bucaramanga,1,195879.0
2025-04-10,Cable Utp Cat6,Marta Ruiz,Bogota,7,195817.0
2026-01-16,Router Wifi 6,Marta Ruiz,Barranquilla,2,870100.0
2026-03-09,Router Wifi 6,Ana Torres,Barranquilla,2,537135.0
2026-01-08,Switch 24P,Luis Gomez,Medellin,3,103464.0
2026-06-18,Cable Utp Cat6,Carlos Pena,Medellin,3,538482.0
2025-12-24,Cable Utp Cat6,Marta Ruiz,Bucaramanga,8,356841.0
2025-05-21,Repetidor Mesh,Luis Gomez,Medellin,7,135697.0
2026-01-15,Switch 24P,Marta Ruiz,Medellin,8,116178.0
2025-09-08,Switch 24P,Luis Gomez,Cali,6,94114.0
2025-10-03,Router Wifi 6,Luis Gomez,Medellin,7,82728.0
2026-01-13,Router Wifi 6,Carlos Pena,Barranquilla,2,582719.0
2025-02-27,Repetidor Mesh,Ana Torres,Bucaramanga,1,243593.0
2026-06-02,Cable Utp Cat6,Carlos Pena,Bogota,8,89227.0
2025-11-25,Router Wifi 6,Luis Gomez,Cali,8,129668.0
2025-08-04,Switch 24P,Luis Gomez,Medellin,1,647181.0
2025-01-23,Ont Fibra,Ana Torres,Medellin,5,289079.0
2026-03-09,Ont Fibra,Carlos Pena,Cali,1,537287.0
2025-01-22,Switch 24P,Marta Ruiz,Barranquilla,1,200071.0
2026-07-26,Cable Utp Cat6,Carlos Pena,Medellin,4,1170596.0
2026-03-03,Switch 24P,Ana Torres,Cali,7,318821.0
2026-04-22,Ont Fibra,Carlos Pena,Medellin,7,610726.0
2025-05-27,Ont Fibra,Marta Ruiz,Medellin,1,390200.0
2026-05-14,Antena Sectorial,Ana Torres,Barranquilla,7,1689255.0
2026-05-18,Cable Utp Cat6,Luis Gomez,Cali,4,363879.0
2026-06-26,Antena Sectorial,Carlos Pena,Barranquilla,1,530164.0
2025-04-19,Repetidor Mesh,Carlos Pena,Barranquilla,1,171807.0
2026-05-12,Switch 24P,Luis Gomez,Medellin,1,108169.0
2025-02-05,Cable Utp Cat6,Ana Torres,Bogota,8,186725.0
2026-02-16,Switch 24P,Luis Gomez,Cali,3,648051.0
2026-02-18,Cable Utp Cat6,Ana Torres,Cali,4,552643.0
