 Fecha ,Producto,Vendedor,Ciudad,Cantidad,MONTO
11/07/2026,Antena sectorial,Marta Ruiz,Medellin,3,$ 706.846
26/03/2025,ONT Fibra,MARTA RUIZ,Cali,3,$ 199.329
08/05/2026,Repetidor mesh,Luis Gomez,Barranquilla,4,$ 122.840
02/11/2025,ONT Fibra,Ana Torres,Medellin,5,$ 323.204
17/03/2026,Repetidor mesh,Luis Gomez,Medellin,4,$ 393.365
03/06/2026,ONT Fibra,Ana Torres,Medellin,4,$ 259.514
14/03/2026,Router WiFi 6,Carlos Pena,Medellin,7,$ 433.563
06/03/2026,Router WiFi 6,Luis Gomez,Barranquilla,8,$ 186.450
13/09/2025,Repetidor mesh,Carlos Pena,Medellin,8,$ 141.384
16/04/2026,Antena sectorial,Ana Torres,Medellin,6,$ 547.060
22/12/2025,Repetidor mesh,Luis Gomez,Bogota,8,$ 299.373
05/04/2025,ONT Fibra,Marta Ruiz,Cali,5,$ 297.207
14/06/2026,Switch 24p,Carlos Pena,Bogota,1,$ 333.954
27/05/2026,Antena sectorial,Marta Ruiz,Bogota,8,$ 329.315
14/02/2025,Repetidor mesh,Marta Ruiz,Medellin,1,$ 214.478
14/02/2026,ONT Fibra,Luis Gomez,Medellin,1,$ 719.166
12/02/2025,Switch 24p,Ana Torres,Barranquilla,3,$ 891.978
09/01/2026,Cable UTP Cat6,Marta Ruiz,Medellin,1,$ 432.937
19/12/2025,Router WiFi 6,Ana Torres,Cali,6,$ 330.331
18/01/2026,Router WiFi 6,Luis Gomez,Cali,2,$ 112.641
04/05/2025,Cable UTP Cat6,Marta Ruiz,Barranquilla,3,$ 227.931
30/06/2025,Antena sectorial,Marta Ruiz,Bucaramanga,1,$ 195.879
10/04/2025,Cable UTP Cat6,Marta Ruiz,Bogota,7,$ 195.817
16/01/2026,Router WiFi 6,Marta Ruiz,Barranquilla,2,$ 870.100
09/03/2026,Router WiFi 6,Ana Torres,Barranquilla,2,$ 537.135
08/01/2026,Switch 24p,Luis Gomez,Medellin,3,$ 103.464
18/06/2026,Cable UTP Cat6,Carlos Pena,Medellin,3,$ 538.482
